Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
1000000;100000;CAPITAL SOCIAL;100000;Capital social
1010000;101000;Fondo social;101000;Fondo social
1020000;102000;Capital;102000;Capital
1030000;103000;Socios por desembolsos no exigidos, capital social;103000;Socios por desembolsos no exigidos, capital social
1034000;103400;Socios por desembolsos no exigidos,capital pdte.in;103400;Socios por desembolsos no exigidos, capital pendiente de inscripción
1040000;104000;Socios por aportaciones no diner.pdtes,capital soc;104000;Socios por aportaciones no dinerarias pendientes, capital social
1044000;104400;Socios por aportaciones no diner.pdtes inscripción;104400;Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción
1080000;108000;Acciones/particip. propias en situaciones espec.;108000;Acciones o participaciones propias en situaciones especiales
1090000;109000;Acciones/particip. propias para reduc. de capital;109000;Acciones o participaciones propias para reducción de capital
1100000;110000;Prima de emisión o asunción;110000;Prima de emisión o asunción
1120000;112000;Reserva legal;112000;Reserva legal
1130000;113000;Reservas voluntarias;113000;Reservas voluntarias
1140000;114000;Reservas para acciones o particip de la Soc.domin;114000;Reservas para acciones o participaciones de la sociedad dominante
1141000;114100;Reservas estatutarias;114100;Reservas estatutarias
1142000;114200;Reserva por capital amortizado;114200;Reserva por capital amortizado
1144000;114400;Reserva por acciones propias aceptadas en garantía;114400;Reservas por acciones propias aceptadas en garantía
1145000;114500;Reserva Revalorización ley 12/2012;;
1180000;118000;Aportaciones de socios o propietarios;118000;Aportaciones de socios o propietarios
1190000;119000;Diferencias por ajuste del capital a euros;119000;Diferencias por ajuste del capital a euros
1200000;120000;Remanente;120000;Remanente
1210000;121000;Resultados negativos de ejercicios anteriores;121000;Resultados negativos de ejercicios anteriores
1290000;129000;Resultado del ejercicio;129000;Resultado del ejercicio
1300000;130000;Subvenciones oficiales de capital;130000;Subvenciones oficiales de capital
1301000;130100;Derechos emisión asignados, GEI;;
1310000;131000;Donaciones y legados de capital;131000;Donaciones y legados de capital
1320000;132000;Otras subvenciones, donaciones y legados;132000;Otras subvenciones, donaciones y legados
1370000;137000;Ingre.fisc.difere.permanentes distri. varios ejer.;137000;Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios
1371000;137100;Ingre.fisc.deduc. y bonifi. a distri. varios ejer.;137100;Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios
1410000;141000;Provisión para impuestos;141000;Provisión para impuestos
1420000;142000;Provisión para otras responsabilidades;142000;Provisión para otras responsabilidades
1430000;143000;Provisión desmante., retiro o rehabili. inmovil.;143000;Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado
1450000;145000;Provisión para actuaciones medioambientales;145000;Provisión para actuaciones medioambientales
1490000;149000;Prov. derechos emisión gases efecto invernadero;;
1500000;150000;Acciones o partic.a L/P consideradas como pasivo;150000;Acciones o participaciones consideradas como pasivos financieros
1533000;153300;Desembolsos no exigidos, grupo;153300;Desembolsos no exigidos, empresas del grupo
1534000;153400;Desembolsos no exigidos, asoc.;153400;Desembolsos no exigidos, empresas asociadas
1535000;153500;Desembolsos no exigidos, otras vinc.;153500;Desembolsos no exigidos, otras partes vinculadas
1536000;153600;Otros desembolsos no exigidos;153600;Otros desembolsos no exigidos
1543000;154300;Aportaciones no dinerarias pendientes, grupo;154300;Aportaciones no dinerarias pendientes, empresas del grupo
1544000;154400;Aportaciones no dinerarias pendientes, asoc.;154400;Aportaciones no dinerarias pendientes, empresas asociadas
1545000;154500;Aportaciones no dinerarias pendientes, otras vinc.;154500;Aportaciones no dinerarias pendientes, otras partes vinculadas
1546000;154600;Otras aportaciones no dinerarias pendientes;154600;Otras aportaciones no dinerarias pendientes
1603000;160300;Deudas a L/P con entidades de crédito, grupo;160300;Deudas con entidades de crédito vinculadas, empresas del grupo
1604000;160400;Deudas a L/P con entidades de crédito, asoc.;160400;Deudas con entidades de crédito vinculadas, empresas asociadas
1605000;160500;Deudas a L/P con otras entidades de crédito vincu.;160500;Deudas con otras entidades de crédito vinculadas
1613000;161300;Proveedores de inmovilizado a L/P, grupo;161300;Proveedores de inmovilizado, empresas del grupo
1614000;161400;Proveedores de inmovilizado a L/P, asoc.;161400;Proveedores de inmovilizado, empresas asociadas
1615000;161500;Proveedores de inmovilizado a L/P, otras vinc.;161500;Proveedores de inmovilizado, otras partes vinculadas
1623000;162300;Acreedores arrendamiento financiero a L/P, grupo;162300;Acreedores por arrendamiento financiero, empresas de grupo
1624000;162400;Acreedores arrendamiento financiero a L/P, asoc.;162400;Acreedores por arrendamiento financiero, empresas asociadas
1625000;162500;Acreedores arrendamiento finan a L/P, otras vinc.;162500;Acreedores por arrendamiento financiero, otras partes vinculadas
1633000;163300;Otras deudas a L/P, empresas grupo;163300;Otras deudas, empresas del grupo
1634000;163400;Otras deudas a largo plazo, empresas asoc.;163400;Otras deudas, empresas asociadas
1635000;163500;Otras deudas a L/P, otras partes vinc.;163500;Otras deudas, con otras partes vinculadas
1635001;163500;PRESTAMO SOCIO MARCOS ASTORGANO;163500;Otras deudas, con otras partes vinculadas
1700000;170000;Deudas a L/P con entidades de crédito;170000;Deudas con entidades de crédito
1700001;170000;CREDITO KUTXABANK 69256;170000;Deudas con entidades de crédito
1710000;171000;Deudas a L/P;171000;Deudas
1720000;172000;Deudas a L/P transform. en subvenc., donac.y leg.;172000;Deudas transformables en subvenciones, donaciones y legados
1730000;173000;Proveedores de inmovilizado a L/P;173000;Proveedores de inmovilizado
1740000;174000;Acreedores por arrendamiento financiero a L/P;174000;Acreedores por arrendamiento financiero
1750000;175000;Efectos a pagar a L/P;175000;Efectos a pagar
1760000;176000;Pasivos por derivados financieros a L/P;176000;Pasivos por derivados financieros
1770000;177000;Obligaciones y bonos ;177000;Obligaciones y bonos
1790000;179000;Deudas representadas en otros valores negociables;179000;Deudas representadas en otros valores negociables
1800000;180000;Fianzas recibidas a L/P;180000;Fianzas recibidas
1810000;181000;Anticipos recibidos por ventas o prestac.serv. L/P;181000;Anticipos recibidos por ventas o prestaciones de servicios
1850000;185000;Depósitos recibidos a L/P;185000;Depósitos recibidos
1900000;190000;Acciones o participaciones emitidas;190000;Acciones o participaciones emitidas
1920000;192000;Suscriptores de acciones;192000;Suscriptores de acciones
1940000;194000;Capital emitido pendiente de inscripción;194000;Capital emitido pendiente de inscripción
1950000;195000;Accion/partic.emitidas consideradas pasivos financ;195000;Acciones o participaciones emitidas consideradas como pasivos financieros
1970000;197000;Suscriptores acciones consideradas pasivos financ;197000;Suscriptores de acciones consideradas como pasivos financieros
